mchi1,mchipm1,Final_CLs,exclusion
351.2132,351.380991,0.0,0
1612.58615,1825.65845,1.0,1
122.287877,126.69108,0.0889,1
227.597917,227.790144,0.0,0
71.6281333,740.654057,0.000141,0
97.1893314,414.646131,0.020101411,0
120.067916,1739.80964,1.0,1
397.928099,1304.60148,1.0,1
1074.61913,1077.71699,1.0,1
815.795018,822.673412,1.0,1
614.11249,616.004987,0.824,1
970.536295,973.115927,1.0,1
802.308487,951.581598,0.999,1
72.2733149,993.019633,0.0514,1
98.8242893,99.0036897,0.0,0
1349.77009,1372.15659,1.0,1
495.658437,495.769479,0.861,1
681.169263,681.461923,0.939,1
184.028995,184.218921,0.0,0
407.61502,407.770806,0.0,0
131.41548,131.605562,0.0,0
145.993528,153.646085,0.0555,1
85.860391,234.065619,2.59e-10,0
203.680474,204.508529,1.0,1
62.8727434,1149.77578,0.548,1
39.1739028,317.687513,0.022448901,0
141.792542,1531.44097,1.0,1
862.243373,863.424149,0.914,1
173.324451,175.95597,0.389,1
1061.93136,1453.11773,1.0,1
737.392602,981.098814,0.977,1
947.991439,950.180286,0.928,1
580.265006,1309.92261,1.0,1
611.412436,612.29994,0.911,1
4.50640421,455.141155,0.22669457,1
1438.30085,1690.41626,1.0,1
93.8520008,94.0816439,0.0,0
304.119055,306.858798,0.0239,0
416.934535,417.087617,0.0,0
235.324654,238.926003,0.308,1
436.62157,438.767515,0.0977,1
330.736033,331.345277,0.0,0
874.457575,921.386234,0.875,1
1124.95544,1126.04194,1.0,1
265.923725,356.630042,0.634,1
632.756206,806.248681,0.933,1
448.388062,452.752547,0.592,1
1602.86042,1604.0011,1.0,1
998.602783,1034.40563,1.0,1
199.413422,199.603884,0.0,0
371.156929,371.316909,0.0,0
411.336344,411.465661,0.0,0
620.840676,746.89645,0.827,1
326.388849,329.166475,0.605,1
59.2009496,1067.77437,0.348,1
163.566786,167.48753,0.041,0
130.267216,537.582426,0.0202,0
113.055387,113.800122,0.796,1
233.176266,233.373814,0.0,0
109.526329,109.713974,0.0,0
250.260793,253.151154,0.886,1
594.055259,594.107997,0.76,1
362.904081,976.987184,0.0627,1
203.779442,206.789727,0.903,1
348.248284,352.280529,0.39,1
68.1418716,354.965938,0.08023951,1
154.733651,433.575901,0.0538274,1
669.38548,1065.89662,0.833,1
980.854986,982.061088,1.0,1
290.538926,840.535205,0.18,1
147.223864,984.381305,0.277,1
559.999321,561.923473,0.445,1
35.2954558,1280.82112,1.0,1
604.364573,604.423846,0.682,1
175.527157,835.834038,0.114,1
626.407313,629.758267,0.766,1
1090.56879,1128.16664,1.0,1
104.800999,104.984058,0.0,0
564.615476,564.67807,1.0,1
1166.51254,1176.95127,1.0,1
417.77098,420.307958,0.784,1
599.467409,599.508651,0.855,1
115.345431,399.553924,0.0662,1
1048.72592,1413.62539,1.0,1
213.267637,292.146844,0.511,1
69.128999,1857.9572,1.0,1
242.946667,257.663131,0.759,1
180.280287,1019.81947,0.45,1
597.046794,598.17497,1.0,1
346.752078,348.29417,0.463,1
111.789003,119.108268,0.00819,0
423.041834,423.192682,0.0,0
112.773487,935.384665,0.35,1
44.5581339,196.888834,2.1439573e-05,0
723.809977,724.418464,1.0,1
180.430078,183.668673,0.044538412,0
471.978002,472.11637,0.0,0
175.483152,175.678371,0.0,0
248.926202,251.430629,0.962,1
223.683664,224.345179,0.903,1
224.522495,227.158825,0.826,1
527.766669,535.447125,0.445,1
1018.99302,1019.51961,1.0,1
225.129707,1484.13301,1.0,1
570.993951,572.401875,0.759,1
337.127769,778.636205,0.339,1
387.108625,391.407645,1.0,1
145.58583,1009.16133,0.305,1
113.003005,451.075427,0.49352548,1
111.800879,114.027292,0.724,1
98.8367487,103.442681,0.0223,0
496.281311,496.475881,0.494,1
598.816193,613.57488,0.453,1
272.675071,272.89864,0.139,1
289.128575,1516.62153,1.0,1
737.108318,821.639446,0.866,1
1095.08003,1096.03864,0.936,1
576.972356,577.04415,0.925,1
202.99554,748.393037,0.0726,1
609.870545,611.023399,0.781,1
151.543869,316.976619,0.000241,0
737.369973,1093.21698,0.808,1
516.26255,519.638308,0.765,1
411.598804,898.599456,0.13,1
1517.41649,1517.95429,1.0,1
103.416495,109.91503,0.00061,0
328.789919,882.633426,0.368,1
826.786228,1516.87745,1.0,1
244.218835,244.40458,0.0,0
